Lead ID,Date,Location,Form,Postcode,Make,Model,State,Registration Type,Badge,Colour,Second-preference Colour,Optional Package,Trade-in Yes/No,Year,Vehicle,Model,Odometer
3284567,24/8/2026,JAC Motors Sunshine Coast - Maroochydore,Reserve Your Build,N/A,JAC,Hunter,QLD,,Hunter X 4x4,Karak,Stratus,Front & Rear Diff Lock - Already included,No,,,,
3284182,23/8/2026,Sydney City JAC Motors,Reserve Your Build,N/A,JAC,Hunter,NSW,,Hunter X 4x4,Ochre,Hammerhead,,Yes,2008,Mitshubishi,Triton,165000
3284038,22/8/2026,JAC Motors Liverpool,HunterBuild,2761,JAC,Hunter,NSW,,Hunter Pro 4x4,Huntsman,Stratus,,No,,,,
3283338,21/8/2026,Keystar JAC Motors Kippa-Ring,HunterBuild,4012,JAC,Hunter,NSW,,Hunter X 4x4,Hammerhead,,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",,,,,
3283293,20/8/2026,Keystar JAC Motors Kippa-Ring,HunterBuild,4012,JAC,Hunter,NSW,,Hunter X 4x4,Hammerhead,,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",No,,,,
3283087,20/8/2026,Cricks Highway JAC Motors,Register Your Interest JAC Hunter,4060,,,,,,,,,,,,,
3281899,18/8/2026,JAC Motors Wodonga,HunterBuild,2714,JAC,Hunter,NSW,,Hunter Pro 4x4,Huntsman,Stratus,"Front & Rear Diff Lock $1,888",Yes,2021,Ford,Ranger XLT,92000
