Lead ID,Date,Location,Form,Postcode,Make,Model,State,Registration Type,Badge,Colour,Second-preference Colour,Optional Package,Trade-in Yes/No,Year,Vehicle,Model,Odometer
3281899,18/8/2026,JAC Motors Wodonga,HunterBuild,2714,JAC,Hunter,NSW,,Hunter Pro 4x4,Huntsman,Stratus,"Front & Rear Diff Lock $1,888",Yes,2021,Ford,Ranger XLT,92000
3280808,16/8/2026,JAC Motors Dandenong,HunterBuild,3909,JAC,Hunter,VIC,,Hunter Pro 4x4,Hammerhead,Huntsman,,No,,,,
3280804,16/8/2026,Geoff King JAC Motors,HunterBuild,2322,JAC,Hunter,NSW,,Hunter Pro 4x4,Stratus,I would like to wait for my preferred colour.,,Yes,2018,Holden,Malibu,180000
3280764,16/8/2026,Geoff King JAC Motors,HunterBuild,2322,JAC,Hunter,NSW,,Hunter Pro 4x4,Stratus,I would like to wait for my preferred colour.,,Yes,2018,Holden,Malibu,180000
3280763,16/8/2026,Geoff King JAC Motors,HunterBuild,2322,JAC,Hunter,NSW,,Hunter Pro 4x4,Stratus,I would like to wait for my preferred colour.,,Yes,2018,Holden,Malibu,198000
3280730,15/8/2026,JAC Motors Hampstead Gardens,Register Your Interest JAC Hunter,5073,,,,,,,,,,,,,
3280428,14/8/2026,Coral Coast JAC Motors,Reserve Your Build,N/A,JAC,Hunter,NSW,,Hunter X 4x4,Huntsman,I would like to wait for my preferred colour.,Front & Rear Diff Lock - Already included,Yes,2013,Kia,Sportage,123555
3279938,13/8/2026,Keystar JAC Motors Morayfield,Reserve Your Build,N/A,JAC,Hunter,QLD,,Hunter X 4x4,Ochre,,Front & Rear Diff Lock - Already included,No,,,,
3278983,11/8/2026,Cricks Tweed JAC Motors,HunterBuild,4224,JAC,Hunter,NSW,,Hunter X 4x4,Ochre,,"Front & Rear Diff Lock - Already included, Power Sunroof $1,500",No,,,,
