Lead ID,Date,Location,Form,Postcode,Make,Model,State,Registration Type,Badge,Colour,Second-preference Colour,Optional Package,Trade-in Yes/No,Year,Vehicle,Model,Odometer
3253569,19/6/2026,JAC Motors Midland,Register Your Interest JAC Hunter,6164,,,,,,,,,,,,,
3253484,19/6/2026,JAC Motors Penrith,Register Your Interest JAC Hunter,2753,,,,,,,,,,,,,
3253339,19/6/2026,JAC Motors Wanneroo,Register Your Interest JAC Hunter,6065,,,,,,,,,,,,,
3253317,19/6/2026,JAC Motors Rockhampton,HunterBuild,4884,JAC,Hunter,QLD,Personal,Hunter X 4x4,Huntsman,I would like to wait for my preferred colour.,Front & Rear Diff Lock - Already included,No,,,,
3253186,18/6/2026,JAC Motors Wanneroo,HunterBuild,6031,JAC,Hunter,WA,Personal,Hunter X 4x4,Ochre,I would like to wait for my preferred colour.,Front & Rear Diff Lock - Already included,Yes,2019,Holden,LTZ,151000
3253145,18/6/2026,Northern JAC Motors,HunterBuild,3192,JAC,Hunter,NSW,Business,Hunter X 4x4,Ochre,,Front & Rear Diff Lock - Already included,No,,,,
3253144,18/6/2026,JAC Motors Wanneroo,Register Your Interest JAC Hunter,6051,,,,,,,,,,,,,
3253056,18/6/2026,Parramatta City JAC Motors,Register Your Interest JAC Hunter,2103,,,,,,,,,,,,,
3252947,18/6/2026,Geoff King JAC Motors,Reserve Your Build,N/A,JAC,Hunter,NSW,Personal,Hunter X 4x4,Huntsman,I would like to wait for my preferred colour.,Front & Rear Diff Lock - Already included,No,,,,
3252767,17/6/2026,Keystar JAC Motors Kippa-Ring,Register Your Interest JAC Hunter,4503,,,,,,,,,,,,,
3252765,17/6/2026,JAC Motors Midland,Register Your Interest JAC Hunter,6281,,,,,,,,,,,,,
3252667,17/6/2026,John Davis JAC Motors,Register Your Interest JAC Hunter,2800,,,,,,,,,,,,,
3252219,16/6/2026,JAC Motors Werribee,Register Your Interest JAC Hunter,3021,,,,,,,,,,,,,
3252184,16/6/2026,JAC Motors Shepparton,Register Your Interest JAC Hunter,3631,,,,,,,,,,,,,
3252173,16/6/2026,Parramatta City JAC Motors,Reserve Your Build,N/A,JAC,Hunter,NSW,Business,Hunter X 4x4,Karak,Hammerhead,Front & Rear Diff Lock - Already included,No,,,,
3252049,16/6/2026,JAC Motors Wanneroo,Register Your Interest JAC Hunter,6000,,,,,,,,,,,,,
3251840,16/6/2026,JAC Motors Midland,Register Your Interest JAC Hunter,6180,,,,,,,,,,,,,
3251487,15/6/2026,Sydney City JAC Motors,Register Your Interest JAC Hunter,2088,,,,,,,,,,,,,
3251479,15/6/2026,JAC Motors Penrith,Register Your Interest JAC Hunter,2747,,,,,,,,,,,,,
3251129,15/6/2026,Parramatta City JAC Motors,Register Your Interest JAC Hunter,2099,,,,,,,,,,,,,
3250890,14/6/2026,JAC Motors Queanbeyan,Register Your Interest JAC Hunter,2905,,,,,,,,,,,,,
3250833,14/6/2026,von Bibra JAC Motors,Register Your Interest JAC Hunter,4209,,,,,,,,,,,,,
3250760,14/6/2026,Cricks Tweed JAC Motors,Register Your Interest JAC Hunter,2480,,,,,,,,,,,,,
3250613,13/6/2026,JAC Motors Liverpool,Register Your Interest JAC Hunter,2162,,,,,,,,,,,,,
3250607,13/6/2026,JAC Motors Capalaba,Register Your Interest JAC Hunter,4154,,,,,,,,,,,,,
3250590,13/6/2026,E.L.N. JAC Motors,Register Your Interest JAC Hunter,2251,,,,,,,,,,,,,
3250584,13/6/2026,von Bibra JAC Motors,Register Your Interest JAC Hunter,4214,,,,,,,,,,,,,
3250311,13/6/2026,JAC Motors,Register Your Interest JAC Hunter,7250,,,,,,,,,,,,,
3250283,12/6/2026,JAC Motors Midland,HunterBuild,6055,JAC,Hunter,WA,Personal,Hunter Pro 4x4,Stratus,I would like to wait for my preferred colour.,Front & Rear Diff Lock - $TBC,Yes,,2016,Ford territory titanium,110000
3250149,12/6/2026,JAC Motors Campbelltown,Register Your Interest JAC Hunter,2565,,,,,,,,,,,,,
3250069,12/6/2026,E.L.N. JAC Motors,Register Your Interest JAC Hunter,2290,,,,,,,,,,,,,
3249786,11/6/2026,Northern JAC Motors,HunterBuild,3104,JAC,Hunter,VIC,Personal,Hunter Pro 4x4,Hammerhead,I would like to wait for my preferred colour.,,Yes,2025,Jac,Haven,35000
3249773,11/6/2026,Geoff King JAC Motors,HunterBuild,2463,JAC,Hunter,NSW,Personal,Hunter Pro 4x4,Karak,I would like to wait for my preferred colour.,,Yes,2011,Volkswagen,Amrok,298000
3249745,11/6/2026,JAC Motors Townsville,Reserve Your Build,N/A,JAC,Hunter,QLD,Personal,Hunter Pro 4x4,Hammerhead,Karak,,No,,,,
3249641,11/6/2026,Parramatta City JAC Motors,Register Your Interest JAC Hunter,2095,,,,,,,,,,,,,
3249557,11/6/2026,JAC Motors Penrith,Register Your Interest JAC Hunter,2745,,,,,,,,,,,,,
3249430,11/6/2026,E.L.N. JAC Motors,Register Your Interest JAC Hunter,2250,,,,,,,,,,,,,
3249411,11/6/2026,JAC Motors Campbelltown,Register Your Interest JAC Hunter,2558,,,,,,,,,,,,,
3249353,11/6/2026,JAC Motors Werribee,Register Your Interest JAC Hunter,3222,,,,,,,,,,,,,
3249326,11/6/2026,JAC Motors Campbelltown,Register Your Interest JAC Hunter,2566,,,,,,,,,,,,,
3249289,10/6/2026,JAC Motors Liverpool,Register Your Interest JAC Hunter,2040,,,,,,,,,,,,,
3249283,10/6/2026,JAC Motors Liverpool,HunterBuild,2040,JAC,Hunter,NSW,Personal,Hunter Pro 4x4,Stratus,Huntsman,Front & Rear Diff Lock - $TBC,Yes,2022,LDV,T60,56000
3249180,10/6/2026,Keystar JAC Motors Kippa-Ring,Register Your Interest JAC Hunter,4504,,,,,,,,,,,,,
3249179,10/6/2026,JAC Motors Midland,Register Your Interest JAC Hunter,6055,,,,,,,,,,,,,
3249116,10/6/2026,JAC Motors Sunshine Coast - Maroochydore,HunterBuild,4551,JAC,Hunter,QLD,Personal,Hunter X 4x4,Ochre,Stratus,Front & Rear Diff Lock - Already included,No,,,,
3248861,10/6/2026,JAC Motors,Register Your Interest JAC Hunter,3875,,,,,,,,,,,,,
3248657,9/6/2026,JAC Motors Midland,Register Your Interest JAC Hunter,6122,,,,,,,,,,,,,
3248585,9/6/2026,Coral Coast JAC Motors,HunterBuild,4815,JAC,Hunter,NSW,Personal,Hunter Pro 4x4,Stratus,Huntsman,,No,,,,
3248581,9/6/2026,JAC Motors Hampstead Gardens,Register Your Interest JAC Hunter,5051,,,,,,,,,,,,,
3248493,9/6/2026,E.L.N. JAC Motors,Reserve Your Build,N/A,JAC,Hunter,NSW,Personal,Hunter Pro 4x4,Ochre,I would like to wait for my preferred colour.,,No,,,,
3248435,9/6/2026,Sydney City JAC Motors,Register Your Interest JAC Hunter,2210,,,,,,,,,,,,,
3248090,8/6/2026,Cricks Highway JAC Motors,Register Your Interest JAC Hunter,4123,,,,,,,,,,,,,
3248078,8/6/2026,E.L.N. JAC Motors,Register Your Interest JAC Hunter,2322,,,,,,,,,,,,,
3248070,8/6/2026,JAC Motors Midland,Register Your Interest JAC Hunter,6069,,,,,,,,,,,,,
3247790,8/6/2026,JAC Motors Midland,HunterBuild,6208,JAC,Hunter,NSW,Personal,Hunter X 4x4,wren blue,,Front & Rear Diff Lock - Already included,Yes,2014,Toyota,Dual cab  hilux,195000
