Lead ID,Date,Location,Postcode,State,Registration Type,Hunter Badge,Trade-in Year,Trade-in Make,Trade-in Model,Odometer
3235504,14/5/2026,Northern JAC Motors,3931,VIC,Personal,Hunter X 4x4,2021,Ford,Ranger,78000
3235351,14/5/2026,Northern JAC Motors,3930,VIC,Business,Hunter Pro 4x4,2019,Range Rover,Sport,120000
3235058,13/5/2026,JAC Motors Dubbo,2830,NSW,Personal,Hunter X 4x4,2021,Havel,H6,130000
3234904,13/5/2026,E.L.N. JAC Motors,2284,NSW,Personal,Hunter Pro 4x4,2026,Byd,Shark 6,4000
3234756,12/5/2026,JAC Motors Shepparton,3630,NSW,Personal,Hunter X 4x4,2012,KIA,GRAND CARNIVAL,360000
3234585,12/5/2026,JAC Motors Bunbury,6230,WA,Personal,Hunter X 4x4,2019,Holden,Commodore VXR,190000
3234149,11/5/2026,von Bibra JAC Motors,4211,QLD,Personal,Hunter X 4x4,,,,
3233521,10/5/2026,E.L.N. JAC Motors,2267,NSW,Personal,Hunter Pro 4x4,2013,Toyota Landruiser,GX,120000
3233447,10/5/2026,Sydney City JAC Motors,2210,NSW,Business,Hunter Pro 4x4,,,,
3233364,10/5/2026,Sydney City JAC Motors,2062,NSW,Personal,Hunter Pro 4x4,,,,
3233333,10/5/2026,JAC Motors Wanneroo,6010,WA,Personal,Hunter X 4x4,2015,Toyota,Prado Altitude,160000
3233172,9/5/2026,JAC Motors Midland,6112,NSW,Personal,Hunter X 4x4,2017,Mazda,Cx5,97000km
3232831,8/5/2026,JAC Motors Hampstead Gardens,5142,SA,Personal,Hunter X 4x4,2018,Mitsubishi,Triton,150000
3232801,8/5/2026,JAC Motors Sunshine Coast - Maroochydore,4556,NSW,Personal,Hunter Pro 4x4,,,,
3232761,8/5/2026,JAC Motors Midland,6112,WA,Personal,Hunter Pro 4x4,2018,Mitsubishi,Triton,170000
3232371,7/5/2026,Northern JAC Motors,3047,VIC,Business,Hunter X 4x4,,,,
3232332,7/5/2026,von Bibra JAC Motors,4213,QLD,Personal,Hunter Pro 4x4,2018,Land Rover,Discovery Sport,"127,000"
3232282,7/5/2026,Northern JAC Motors,3931,NSW,Personal,Hunter X 4x4,2021,Ford,Ranger,77500
3232199,7/5/2026,JAC Motors Queanbeyan,2600,ACT,Personal,Hunter X 4x4,2013,Mercedes,A250 Sports AMG,140000
3232169,7/5/2026,Northern JAC Motors,3658,VIC,Personal,Hunter Pro 4x4,2016,Holden,Colorado LTZ,253000
3232167,7/5/2026,Northern JAC Motors,3658,VIC,Personal,Hunter Pro 4x4,,,,
3232158,7/5/2026,JAC Motors Queanbeyan,2905,NSW,Personal,Hunter X 4x4,2012,Nissan,Navara stx 550,250000
3231977,7/5/2026,Cricks Highway JAC Motors,4109,QLD,Personal,Hunter Pro 4x4,,,,
3231905,7/5/2026,Northern JAC Motors,3011,VIC,Personal,Hunter Pro 4x4,,,,
3231701,6/5/2026,JAC Motors Hampstead Gardens,5250,SA,Personal,Hunter Pro 4x4,2024,jac,haven,9000
3231638,6/5/2026,Northern JAC Motors,3145,NSW,Personal,Hunter Pro 4x4,2020,BMW,X1 sDrive18i,45400
3231623,6/5/2026,Ipswich JAC Motors,4306,NSW,Personal,Hunter Pro 4x4,,,,
3231614,6/5/2026,JAC Motors Hampstead Gardens,5155,NSW,Personal,Hunter Pro 4x4,,,,
3231593,6/5/2026,JAC Motors Wanneroo,6026,WA,Personal,Hunter X 4x4,,,,
3231449,6/5/2026,JAC Motors Hampstead Gardens,5250,SA,Personal,Hunter Pro 4x4,2024,JAC,T9 Haven,9000
3231403,6/5/2026,JAC Motors Midland,6166,NSW,Personal,Hunter Pro 4x4,2021,Ford,Ranger Wildtrak x,65000
3231155,6/5/2026,Cricks Highway JAC Motors,4207,QLD,Personal,Hunter X 4x4,2018,Mitsubishi,Triton,118000
3231153,6/5/2026,JAC Motors Hillcrest,4069,QLD,Personal,Hunter X 4x4,2017,Toyota,Fortuner,90000
